001,00000000,00000000,0,b0201073,3,000,00,00000000,000
001,00000000,00000004,0,b8201073,3,000,00,00000000,000
001,00000000,00000008,0,ee0000b7,3,000,00,00000000,000
001,00000000,0000000c,0,30509073,3,000,00,00000000,000
001,00000000,00000010,0,5f5550b7,3,000,00,00000000,000
001,00000000,00000014,0,55508093,3,000,00,00000000,000
001,00000000,00000018,0,7c009073,3,000,00,00000000,000
001,00000000,0000001c,0,d05801b7,3,000,00,00000000,000
001,00000000,00000020,0,10217,3,000,00,00000000,000
001,00000000,00000024,0,fe020213,3,000,00,00000000,000
001,00000000,00000028,0,20283,3,000,00,00000000,000
001,00000000,0000002c,0,518023,3,000,00,00000000,000
011,00000032,00000030,fe029be3,205,3,000,00,00000000,000
001,0000003a,00000028,ff00293,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000036,00000032,d05801b7,fe029be3,3,000,00,00000000,000
001,0000004e,00000028,1,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000036,00000032,d05801b7,fe029be3,3,000,00,00000000,000
001,0000004e,00000028,1,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000036,00000032,d05801b7,fe029be3,3,000,00,00000000,000
001,0000004e,00000028,1,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000036,00000032,d05801b7,fe029be3,3,000,00,00000000,000
001,00000036,00000028,d05801b7,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
001,00000030,00000028,205,20283,3,000,00,00000000,000
011,00000030,0000002c,205,518023,3,000,00,00000000,000
001,00000030,00000032,205,fe029be3,3,000,00,00000000,000
